season,player_name,team,position,pa,ab,hits,doubles,triples,home_runs,walks,strikeouts,stolen_bases,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,source_note,player_id,contact_score,power_score,discipline_score,hitter_value_score,player_value_score,player_type
2026,郭天信,味全龍,野手,465,419,108,14,3,9,33,42,22,0.258,0.315,0.37,0.685,0.112,0.0688,0.0903,0.0194,0.88,CPBL 官方全記錄查詢,0000005549,25.8,42.1,53.0,36.9,36.9,打者
2026,曾子祐,台鋼雄鷹,野手,458,399,114,15,4,2,43,41,6,0.286,0.357,0.358,0.715,0.072,0.0939,0.0895,0.0044,1.12,CPBL 官方全記錄查詢,0000006927,28.599999999999998,22.4,60.0,35.3,35.3,打者
2026,魔鷹,台鋼雄鷹,野手,444,388,113,33,1,16,47,69,2,0.291,0.363,0.505,0.868,0.214,0.0856,0.1554,0.036,0.7,CPBL 官方全記錄查詢,0000007239,29.099999999999998,79.7,52.0,49.1,49.1,打者
2026,張政禹,味全龍,野手,397,353,100,15,1,1,34,54,30,0.283,0.344,0.34,0.684,0.057,0.0806,0.136,0.0025,0.65,CPBL 官方全記錄查詢,0000005542,28.299999999999997,17.1,51.2,32.2,32.2,打者
2026,范國宸,富邦悍將,野手,398,358,99,16,0,13,32,65,2,0.277,0.339,0.43,0.769,0.153,0.0754,0.1633,0.0327,0.55,CPBL 官方全記錄查詢,0000002352,27.700000000000003,61.0,48.4,42.3,42.3,打者
2026,潘傑楷,統一7-ELEVEn獅,野手,406,349,109,25,0,3,49,59,5,0.312,0.403,0.41,0.813,0.098,0.1182,0.1453,0.0074,0.92,CPBL 官方全記錄查詢,0000002707,31.2,31.3,60.4,39.9,39.9,打者
2026,馬傑森,樂天桃猿,野手,366,327,89,14,1,2,18,44,2,0.272,0.323,0.339,0.662,0.067,0.0492,0.1202,0.0055,0.59,CPBL 官方全記錄查詢,0000006240,27.200000000000003,21.6,45.5,31.5,31.5,打者
2026,李凱威,味全龍,野手,398,345,91,9,3,3,39,42,18,0.264,0.344,0.333,0.677,0.069,0.098,0.1055,0.0075,1.07,CPBL 官方全記錄查詢,0000005540,26.400000000000002,23.3,59.6,34.1,34.1,打者
2026,朱育賢,味全龍,野手,411,368,90,10,0,12,25,84,0,0.245,0.311,0.37,0.681,0.125,0.0608,0.2044,0.0292,0.45,CPBL 官方全記錄查詢,0000001318,24.5,51.3,43.3,37.0,37.0,打者
2026,陳聖平,統一7-ELEVEn獅,野手,340,305,72,10,3,5,21,40,5,0.236,0.286,0.338,0.624,0.102,0.0618,0.1176,0.0147,0.6,CPBL 官方全記錄查詢,0000007268,23.599999999999998,36.6,48.0,33.3,33.3,打者
2026,劉基鴻,味全龍,野手,411,380,89,18,0,7,25,58,5,0.234,0.29,0.337,0.627,0.103,0.0584,0.1411,0.017,0.52,CPBL 官方全記錄查詢,0000005545,23.400000000000002,38.2,45.8,33.3,33.3,打者
2026,王博玄,台鋼雄鷹,野手,372,344,110,12,1,1,14,52,22,0.32,0.351,0.369,0.72,0.049,0.0376,0.1398,0.0027,0.35,CPBL 官方全記錄查詢,0000005340,32.0,15.1,40.4,31.7,31.7,打者
2026,林子豪,統一7-ELEVEn獅,野手,331,300,80,11,3,4,26,53,2,0.267,0.327,0.363,0.69,0.096,0.0785,0.1601,0.0121,0.53,CPBL 官方全記錄查詢,0000006223,26.700000000000003,33.4,48.8,34.9,34.9,打者
