season,player_name,team,role,innings_pitched,earned_runs,hits_allowed,walks,strikeouts,home_runs_allowed,era,whip,k_bb_ratio,k_rate,bb_rate,hr_allowed_rate,source_note,player_id,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score,player_type
2026,陳冠偉,味全龍,投手,49.333,11,42,10,29,1,2.01,1.05,2.9,0.1487,0.0513,0.0051,CPBL 官方全記錄查詢,0000005555,93.7,29.7,61.0,67.9,67.9,投手
2026,林凱威,味全龍,投手,49.667,17,48,15,32,2,3.08,1.27,2.13,0.1517,0.0711,0.0095,CPBL 官方全記錄查詢,0000005788,92.1,30.3,54.7,65.4,65.4,投手
2026,陳冠宇,樂天桃猿,投手,49.667,11,36,17,55,3,1.99,1.07,3.24,0.275,0.085,0.015,CPBL 官方全記錄查詢,0000000941,93.6,55.0,59.5,73.7,73.7,投手
2026,陳柏清,台鋼雄鷹,投手,51.333,22,53,18,31,2,3.86,1.38,1.72,0.1396,0.0811,0.009,CPBL 官方全記錄查詢,0000006832,91.1,27.9,51.4,63.4,63.4,投手
2026,廖任磊,富邦悍將,投手,43.0,22,43,23,14,0,4.6,1.53,0.61,0.0729,0.1198,0.0,CPBL 官方全記錄查詢,0000002280,90.0,14.6,41.4,56.6,56.6,投手
2026,張奕,富邦悍將,投手,50.333,10,46,15,39,2,1.79,1.21,2.6,0.1912,0.0735,0.0098,CPBL 官方全記錄查詢,0000005790,93.0,38.2,57.1,68.5,68.5,投手
2026,林子昱,味全龍,投手,45.667,10,43,8,23,1,1.97,1.12,2.88,0.1243,0.0432,0.0054,CPBL 官方全記錄查詢,0000001821,93.4,24.9,61.7,66.8,66.8,投手
2026,蘇俊璋,樂天桃猿,投手,39.333,10,33,9,32,0,2.29,1.07,3.56,0.2025,0.057,0.0,CPBL 官方全記錄查詢,0000005558,93.5,40.5,64.1,71.4,71.4,投手
2026,髙塩將樹,統一7-ELEVEn獅,投手,45.0,11,39,16,29,1,2.2,1.22,1.81,0.1534,0.0847,0.0053,CPBL 官方全記錄查詢,0000006818,92.8,30.7,51.6,64.9,64.9,投手
2026,鍾允華,統一7-ELEVEn獅,投手,47.667,15,43,19,43,3,2.83,1.3,2.26,0.2139,0.0945,0.0149,CPBL 官方全記錄查詢,0000007293,92.1,42.8,53.1,68.1,68.1,投手
2026,呂彥青,中信兄弟,投手,46.667,13,34,9,37,1,2.51,0.92,4.11,0.2056,0.05,0.0056,CPBL 官方全記錄查詢,0000003639,94.1,41.1,67.8,73.0,73.0,投手
2026,陳琥,中信兄弟,投手,49.333,16,49,24,35,3,2.92,1.48,1.46,0.1606,0.1101,0.0138,CPBL 官方全記錄查詢,0000000771,91.1,32.1,47.1,63.2,63.2,投手
2026,曾峻岳,富邦悍將,投手,48.333,8,34,13,61,2,1.49,0.97,4.69,0.3262,0.0695,0.0107,CPBL 官方全記錄查詢,0000006227,94.4,65.2,69.1,79.5,79.5,投手
