snapshot_id,captured_at,season,player_id,player_name,team,player_type,role_or_position,pa,ab,hits,home_runs,walks,strikeouts,batting_average,obp,slg,ops,iso,bb_rate,k_rate,hr_rate,bb_k_ratio,contact_score,power_score,discipline_score,hitter_value_score,innings_pitched,earned_runs,hits_allowed,home_runs_allowed,era,whip,k_bb_ratio,hr_allowed_rate,run_prevention_score,strikeout_score,command_score,pitcher_value_score,player_value_score
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006927,曾子祐,台鋼雄鷹,打者,野手,340.0,295.0,88.0,2.0,31,32,0.298,0.367,0.386,0.753,0.088,0.0912,0.0941,0.0059,1.06,29.8,17.3,58.7,35.2,,,,,,,,,,,,,35.2
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005549,郭天信,味全龍,打者,野手,344.0,309.0,90.0,9.0,24,29,0.291,0.344,0.427,0.771,0.136,0.0669,0.0843,0.0262,0.93,29.1,33.0,53.4,37.8,,,,,,,,,,,,,37.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007239,魔鷹,台鋼雄鷹,打者,野手,329.0,289.0,85.0,14.0,33,54,0.294,0.362,0.54,0.902,0.246,0.079,0.1641,0.0426,0.63,29.4,58.0,49.8,45.2,,,,,,,,,,,,,45.2
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005542,張政禹,味全龍,打者,野手,285.0,253.0,71.0,1.0,27,36,0.281,0.348,0.336,0.684,0.055,0.0877,0.1263,0.0035,0.75,28.1,10.7,53.9,31.2,,,,,,,,,,,,,31.2
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005545,劉基鴻,味全龍,打者,野手,329.0,302.0,70.0,5.0,22,49,0.232,0.292,0.328,0.62,0.096,0.0638,0.1489,0.0152,0.53,23.200000000000003,22.1,46.6,30.0,,,,,,,,,,,,,30.0
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000004633,陳晨威,樂天桃猿,打者,野手,320.0,284.0,84.0,6.0,29,28,0.296,0.356,0.408,0.764,0.112,0.0844,0.0875,0.0187,1.04,29.6,26.1,57.5,37.0,,,,,,,,,,,,,37.0
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000002352,范國宸,富邦悍將,打者,野手,280.0,250.0,65.0,10.0,25,50,0.26,0.329,0.424,0.753,0.164,0.0821,0.1786,0.0357,0.54,26.0,41.4,48.9,37.8,,,,,,,,,,,,,37.8
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006240,馬傑森,樂天桃猿,打者,野手,263.0,236.0,57.0,1.0,9,33,0.242,0.286,0.309,0.595,0.067,0.0342,0.1255,0.0038,0.48,24.2,12.9,41.6,27.0,,,,,,,,,,,,,27.0
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007089,王念好,富邦悍將,打者,野手,260.0,226.0,47.0,6.0,31,63,0.208,0.304,0.35,0.654,0.142,0.1192,0.2423,0.0231,0.51,20.8,32.9,53.1,33.4,,,,,,,,,,,,,33.4
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000005540,李凱威,味全龍,打者,野手,290.0,246.0,64.0,3.0,32,36,0.26,0.354,0.333,0.687,0.073,0.1103,0.1241,0.0103,1.06,26.0,16.3,61.1,33.1,,,,,,,,,,,,,33.1
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000002707,潘傑楷,統一7-ELEVEn獅,打者,野手,282.0,239.0,66.0,2.0,36,42,0.276,0.379,0.36,0.739,0.084,0.1277,0.1489,0.0071,0.95,27.6,17.0,62.3,34.9,,,,,,,,,,,,,34.9
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000001318,朱育賢,味全龍,打者,野手,305.0,273.0,66.0,11.0,18,60,0.242,0.308,0.396,0.704,0.154,0.059,0.1967,0.0361,0.47,24.2,39.8,43.4,35.2,,,,,,,,,,,,,35.2
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000007268,陳聖平,統一7-ELEVEn獅,打者,野手,249.0,229.0,51.0,4.0,12,34,0.223,0.262,0.319,0.581,0.096,0.0482,0.1365,0.0161,0.41,22.3,22.4,43.0,28.5,,,,,,,,,,,,,28.5
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000006854,宋嘉翔,樂天桃猿,打者,野手,206.0,189.0,40.0,2.0,6,34,0.212,0.241,0.254,0.495,0.042,0.0291,0.165,0.0097,0.24,21.2,10.8,36.9,23.1,,,,,,,,,,,,,23.1
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000003649,吳念庭,台鋼雄鷹,打者,野手,298.0,255.0,75.0,0.0,39,31,0.294,0.386,0.353,0.739,0.059,0.1309,0.104,0.0,1.29,29.4,10.1,67.8,34.7,,,,,,,,,,,,,34.7
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,0000000935,王柏融,台鋼雄鷹,打者,野手,270.0,243.0,64.0,6.0,17,56,0.263,0.319,0.391,0.71,0.128,0.063,0.2074,0.0222,0.39,26.3,30.2,43.0,33.7,,,,,,,,,,,,,33.7
