snapshot_id,captured_at,season,quality_status,previous_snapshot_id,file_count,total_rows,hitter_rows,pitcher_rows,roster_rows,added_rows,removed_rows,changed_rows,schema_changed_files
20260806T062528Z-205080b25390,2026-08-06T06:25:28+00:00,2026,pass,,5,1224,168,149,450,0,0,0,
20260806T144458Z-b151cf12daca,2026-08-06T14:44:58+00:00,2026,pass,20260806T062528Z-205080b25390,5,1231,168,150,453,7,0,229,
20260809T111407Z-8d420d681046,2026-08-09T11:14:07+00:00,2026,pass,20260806T144458Z-b151cf12daca,5,1231,168,150,453,0,0,1115,
20260809T155513Z-f8f05a1c4870,2026-08-09T15:55:13+00:00,2026,pass,20260809T111407Z-8d420d681046,5,1231,168,150,453,0,0,3,
20260812T130059Z-0c9e69f68de8,2026-08-12T13:00:59+00:00,2026,pass,20260809T155513Z-f8f05a1c4870,5,1237,168,150,456,6,0,104,
20260818T074743Z-3bbd649a480b,2026-08-18T07:47:43+00:00,2026,pass,20260812T130059Z-0c9e69f68de8,5,1243,168,154,457,6,0,519,
20260818T141342Z-24a743f995f0,2026-08-18T14:13:42+00:00,2026,pass,20260818T074743Z-3bbd649a480b,5,1244,168,155,457,1,0,122,
20260819T084104Z-e3f9f1e437fa,2026-08-19T08:41:04+00:00,2026,pass,20260818T141342Z-24a743f995f0,5,1244,168,155,457,0,0,2,
20260820T065518Z-fb6c6fd422de,2026-08-20T06:55:18+00:00,2026,pass,20260819T084104Z-e3f9f1e437fa,5,1244,168,155,457,0,0,117,
20260820T094818Z-61f8537c2130,2026-08-20T09:48:18+00:00,2026,pass,20260820T065518Z-fb6c6fd422de,5,1249,168,155,459,8,3,0,
20260820T145729Z-02041d39eeea,2026-08-20T14:57:29+00:00,2026,pass,20260820T094818Z-61f8537c2130,5,1249,168,155,459,0,0,61,
20260822T102901Z-fe8988a5a21d,2026-08-22T10:29:01+00:00,2026,pass,20260820T145729Z-02041d39eeea,5,1251,168,155,460,2,0,60,
20260826T022226Z-0fd951653c01,2026-08-26T02:22:26+00:00,2026,pass,20260822T102901Z-fe8988a5a21d,5,1253,168,157,460,4,2,401,
20260830T044000Z-f61c9de6b224,2026-08-30T04:40:00+00:00,2026,pass,20260826T022226Z-0fd951653c01,5,1298,169,157,482,45,0,345,
